# pillbox-catalog version=2026-09-09 count=511
#
# Справочник для подсказок при вводе названия лекарства.
# Собирается из source/ скриптом tools/build_catalog.py — правьте исходники,
# а не этот файл: он перезаписывается целиком.
#
# ВАЖНО: список составлен вручную по распространённым препаратам и НЕ является
# медицинским справочником. Возможны неточности в дозировках и формах выпуска.
# Пользователь всегда видит подставленное значение и может его исправить.
#
# Колонка food — общее указание из инструкции производителя, одинаковое для
# всех наименований с этим действующим веществом. ЭТО НЕ НАЗНАЧЕНИЕ: врач
# может назначить иначе, и его назначение важнее. Приложение показывает,
# откуда взято значение, и позволяет его изменить.
#
# Хранятся только фактические сведения с упаковки: торговое наименование,
# действующее вещество, форма выпуска, дозировка и связь с едой. Описания,
# показания и инструкции защищены авторским правом и сюда попадать не должны.
#
# Формат: название;действующее вещество;форма;дозировка;единица;связь с едой
# Форма, единица и связь с едой — имена констант MedicationForm, DoseUnit
# и FoodRelation. Пустое значение означает «не указано».
name;inn;form;strength;unit;food
L-Тироксин;Левотироксин натрия;TABLET;50;MG;EMPTY_STOMACH
Авамис;Флутиказон;SPRAY;;;
Аводарт;Дутастерид;CAPSULE;0,5;MG;
Адвантан;Метилпреднизолона ацепонат;OINTMENT;;;
Аденурик;Фебуксостат;TABLET;80;MG;
Азитрокс;Азитромицин;CAPSULE;500;MG;EMPTY_STOMACH
Азитромицин;Азитромицин;TABLET;500;MG;EMPTY_STOMACH
Азопт;Бринзоламид;DROPS;;;
Аква Марис;Морская вода;SPRAY;;;
Аквадетрим;Колекальциферол;DROPS;;;WITH_MEAL
Аквалор;Морская вода;SPRAY;;;
Акридерм;Бетаметазон;OINTMENT;;;
Активированный уголь;Уголь активированный;TABLET;250;MG;
Актиферрин;Железа сульфат;CAPSULE;;;BEFORE_MEAL
Актовегин;Депротеинизированный гемодериват;TABLET;200;MG;
Аллапинин;Лаппаконитина гидробромид;TABLET;25;MG;
Аллегра;Фексофенадин;TABLET;120;MG;
Аллопуринол;Аллопуринол;TABLET;100;MG;AFTER_MEAL
Аллохол;Желчь + растительные экстракты;TABLET;;;
Альмагель;Комбинированный;SUSPENSION;;;
Амарил;Глимепирид;TABLET;2;MG;
Амбробене;Амброксол;SYRUP;15;MG;
Амброксол;Амброксол;TABLET;30;MG;
Амелотекс;Мелоксикам;TABLET;15;MG;AFTER_MEAL
Амиодарон;Амиодарон;TABLET;200;MG;
Амитриптилин;Амитриптилин;TABLET;25;MG;
Амлодипин;Амлодипин;TABLET;5;MG;
