# pillbox-gtin version=2026-09-09 count=57672
#
# Штрихкоды упаковок. Собирается скриптом tools/extract_esklp.py —
# правьте исходники, а не этот файл.
#
# Два источника:
#   ЕСКЛП (Минздрав) — только ЖНВЛП: штрихкод там лежит в блоке
#     предельных цен, а он заполняется лишь для препаратов из перечня;
#   source/gtin_manual.tsv — коды с упаковок, внесённые вручную
#     (0 шт.): препараты вне перечня и БАДы.
#
# Код приведён к 14 знакам — так он приходит из кода маркировки.
#
# manual-gtins:
#
# Формат: код;название;действующее вещество;форма;дозировка;единица
gtin;name;inn;form;strength;unit
00000000000000;Радия хлорид, 223Ra;Радия Хлорид [223 Ra];INJECTION;;
00000046002785;Гидрокортизон;Гидрокортизон;OINTMENT;;
00000046009036;Калия перманганат;Калия Перманганат;POWDER;;
00000046023230;Тимолол-ДИА;Тимолол;DROPS;;
00000046024879;Фолиевая кислота;Фолиевая Кислота;TABLET;1;MG
00000046096746;Пилокарпин-ДИА;Пилокарпин;DROPS;;
00000046096753;Пилокарпин-ДИА;Пилокарпин;DROPS;;
00000046097019;Пилокарпин-ДИА;Пилокарпин;DROPS;;
00000046105134;Фолиевая кислота;Фолиевая Кислота;TABLET;1;MG
00000046121820;Пилокарпин-ДИА;Пилокарпин;DROPS;;
00000047006720;Алларитмин;Лаппаконитина Гидробромид;TABLET;25;MG
00000047006744;Алларитмин;Лаппаконитина Гидробромид;TABLET;25;MG
00000047006751;Алларитмин;Лаппаконитина Гидробромид;TABLET;25;MG
00000047006775;Алларитмин;Лаппаконитина Гидробромид;TABLET;25;MG
00003004900002;Рибоциклиб-АМЕДАРТ;Рибоциклиб;TABLET;200;MG
00070418012254;Ацетилсалициловая кислота "Йорк";Ацетилсалициловая Кислота;TABLET;325;MG
00070418013572;Ацетилсалициловая кислота "Йорк";Ацетилсалициловая Кислота;TABLET;325;MG
00070418014326;Ацетилсалициловая кислота "Йорк";Ацетилсалициловая Кислота;TABLET;325;MG
00070418015453;Ацетилсалициловая кислота "Йорк";Ацетилсалициловая Кислота;TABLET;325;MG
00085412601274;Дианил ПД4 с глюкозой;Растворы Для Перитонеального Диализа;INJECTION;;
00085412601281;Дианил ПД4 с глюкозой;Растворы Для Перитонеального Диализа;INJECTION;;
00085412601403;Дианил ПД4 с глюкозой;Растворы Для Перитонеального Диализа;INJECTION;;
00085412601410;Дианил ПД4 с глюкозой;Растворы Для Перитонеального Диализа;INJECTION;;
00085412601427;Дианил ПД4 с глюкозой;Растворы Для Перитонеального Диализа;INJECTION;;
00300090031015;Кортеф;Гидрокортизон;TABLET;10;MG
00300095132021;Зивокс;Линезолид;TABLET;600;MG
00300095136012;Зивокс;Линезолид;POWDER;100;MG
00300097224021;Атгам;Иммуноглобулин Антитимоцитарный;INJECTION;50;MG
00300190001284;Оптирей;Йоверсол;INJECTION;300;MG
