# Дополнение к списку торговых наименований.
# name	inn	form	strength	unit

# --- Сердце и сосуды ---
Капотен	Каптоприл	TABLET	25	MG
Хартил	Рамиприл	TABLET	5	MG
Амприлан	Рамиприл	TABLET	5	MG
Моноприл	Фозиноприл	TABLET	20	MG
Берлиприл	Эналаприл	TABLET	10	MG
Микардис	Телмисартан	TABLET	40	MG
Валз	Валсартан	TABLET	80	MG
Кандесартан	Кандесартан	TABLET	8	MG
Атаканд	Кандесартан	TABLET	8	MG
Теветен	Эпросартан	TABLET	600	MG
Экватор	Лизиноприл + амлодипин	TABLET
Эксфорж	Валсартан + амлодипин	TABLET
Нолипрел	Периндоприл + индапамид	TABLET
Кордафлекс	Нифедипин	TABLET	10	MG
Коринфар	Нифедипин	TABLET	10	MG
Фелодип	Фелодипин	TABLET	5	MG
Леркамен	Лерканидипин	TABLET	10	MG
Изоптин	Верапамил	TABLET	80	MG
Верапамил	Верапамил	TABLET	80	MG
Дилтиазем	Дилтиазем	TABLET	60	MG
Анаприлин	Пропранолол	TABLET	40	MG
Беталок ЗОК	Метопролол	TABLET	50	MG
Метопролол	Метопролол	TABLET	50	MG
Карведилол	Карведилол	TABLET	12,5	MG
Дилатренд	Карведилол	TABLET	12,5	MG
Небилет	Небиволол	TABLET	5	MG
Бидоп	Бисопролол	TABLET	5	MG
Сотагексал	Соталол	TABLET	80	MG
Кораксан	Ивабрадин	TABLET	5	MG
Аллапинин	Лаппаконитина гидробромид	TABLET	25	MG
Этацизин	Этацизин	TABLET	50	MG
Кардикет	Изосорбида динитрат	TABLET	20	MG
Моночинкве	Изосорбида мононитрат	TABLET	40	MG
Нитроспрей	Нитроглицерин	SPRAY
Курантил	Дипиридамол	TABLET	25	MG
Клексан	Эноксапарин натрия	INJECTION
Фраксипарин	Надропарин кальция	INJECTION
Венарус	Диосмин + гесперидин	TABLET
Флебавен	Диосмин + гесперидин	TABLET

# --- Липиды ---
Липримар	Аторвастатин	TABLET	20	MG
Торвакард	Аторвастатин	TABLET	20	MG
Розарт	Розувастатин	TABLET	10	MG
Мертенил	Розувастатин	TABLET	10	MG
Вазилип	Симвастатин	TABLET	20	MG
Эзетрол	Эзетимиб	TABLET	10	MG
