# Связь приёма с едой по действующему веществу.
#
# ЭТО НЕ НАЗНАЧЕНИЕ. Здесь общее указание из инструкции производителя,
# одинаковое для всех торговых наименований с этим веществом. Врач может
# назначить иначе, и его назначение важнее. Приложение подставляет значение
# как подсказку, показывает, откуда оно взято, и позволяет изменить.
#
# Заполняется только там, где указание однозначно и не зависит от показания,
# дозы и формы выпуска. Во всех сомнительных случаях строки здесь нет —
# лучше пустое поле, чем неверная подсказка.
#
# Значения: EMPTY_STOMACH, BEFORE_MEAL, WITH_MEAL, AFTER_MEAL
# (константы FoodRelation; ANY не используется — отсутствие строки и есть «не важно»)
#
# inn	food	основание

# --- Ингибиторы протонной помпы: за 30-60 минут до еды ---
Омепразол	BEFORE_MEAL	Принимают до еды: блокируют помпу, активированную приёмом пищи
Пантопразол	BEFORE_MEAL	То же для всей группы ИПП
Эзомепразол	BEFORE_MEAL	То же для всей группы ИПП
Рабепразол	BEFORE_MEAL	То же для всей группы ИПП
Лансопразол	BEFORE_MEAL	То же для всей группы ИПП

# --- Прокинетики: до еды, чтобы подействовать к приёму пищи ---
Домперидон	BEFORE_MEAL	За 15-30 минут до еды
Метоклопрамид	BEFORE_MEAL	За 30 минут до еды
Итоприд	BEFORE_MEAL	До еды
Тримебутин	BEFORE_MEAL	До еды
Мебеверин	BEFORE_MEAL	За 20 минут до еды

# --- Ферменты: только с едой, иначе бессмысленны ---
Панкреатин	WITH_MEAL	Работает вместе с пищей, вне еды смысла не имеет

# --- Гастропротекторы ---
Висмута трикалия дицитрат	BEFORE_MEAL	За 30 минут до еды
Сукральфат	BEFORE_MEAL	За 30-60 минут до еды

# --- НПВС: после еды, снижает раздражение слизистой желудка ---
Ибупрофен	AFTER_MEAL	Раздражает слизистую желудка
Диклофенак	AFTER_MEAL	Раздражает слизистую желудка
Кетопрофен	AFTER_MEAL	Раздражает слизистую желудка
Нимесулид	AFTER_MEAL	Раздражает слизистую желудка
Мелоксикам	AFTER_MEAL	Раздражает слизистую желудка
Кеторолак	AFTER_MEAL	Раздражает слизистую желудка
Напроксен	AFTER_MEAL	Раздражает слизистую желудка
Ацеклофенак	AFTER_MEAL	Раздражает слизистую желудка
Индометацин	AFTER_MEAL	Раздражает слизистую желудка
Метамизол натрия	AFTER_MEAL	Раздражает слизистую желудка

# --- Гормоны щитовидной железы: строго натощак ---
Левотироксин натрия	EMPTY_STOMACH	Утром натощак за 30 минут до завтрака, еда резко снижает всасывание

# --- Бисфосфонаты: натощак, вертикально, запивая водой ---
Алендроновая кислота	EMPTY_STOMACH	Утром натощак, еда почти полностью блокирует всасывание
Ибандроновая кислота	EMPTY_STOMACH	То же для группы

# --- Сахароснижающие ---
Метформин	WITH_MEAL	Во время или сразу после еды, снижает желудочно-кишечные явления
Гликлазид	BEFORE_MEAL	Перед завтраком
Глибенкламид	BEFORE_MEAL	Перед едой
Акарбоза	WITH_MEAL	С первым глотком пищи, иначе не действует
Репаглинид	BEFORE_MEAL	Перед основными приёмами пищи

# --- Препараты железа ---
Железа сульфат	BEFORE_MEAL	Пища снижает всасывание; при непереносимости допустимо с едой
Железа фумарат	BEFORE_MEAL	То же для группы

# --- Прочее с однозначным указанием ---
Урсодезоксихолевая кислота	WITH_MEAL	Во время еды, обычно вечером
Аллопуринол	AFTER_MEAL	После еды, снижает раздражение желудка
Преднизолон	AFTER_MEAL	После еды, снижает раздражение желудка
Метилпреднизолон	AFTER_MEAL	После еды, снижает раздражение желудка
Метронидазол	AFTER_MEAL	Во время или после еды, снижает тошноту
Итраконазол	WITH_MEAL	Сразу после еды, всасывание зависит от пищи
Гризеофульвин	WITH_MEAL	С жирной пищей, иначе всасывается плохо
Орлистат	WITH_MEAL	Во время еды, действует на жиры пищи
Каптоприл	BEFORE_MEAL	За час до еды, пища снижает всасывание
Тетрациклин	EMPTY_STOMACH	Пища и молочные продукты резко снижают всасывание
Доксициклин	AFTER_MEAL	После еды, снижает раздражение пищевода
Азитромицин	EMPTY_STOMACH	Капсулы за час до или через два часа после еды
Нитрофурантоин	WITH_MEAL	С едой, улучшает переносимость и всасывание
Колхицин	WITH_MEAL	С едой, снижает желудочно-кишечные явления
Кальций + колекальциферол	WITH_MEAL	С едой, кальций лучше всасывается
Колекальциферол	WITH_MEAL	Жирорастворимый, всасывается с пищей
Омега-3 кислоты	WITH_MEAL	Всасываются с пищей
